,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Theme,Year,2021,Past_rank,Hotel_type
42,Six Senses Yao Noi,Koh Yao Noi,Thailand,Southeast Asia,InterContinental Hotels Group,97.07,43,56,Beachfront,2007,0,0,Small
43,Finca Cortesin Hotel Golf & Spa,Málaga,Spain,Europe,Finca Cortesin,96.97,44,67,Countryside,2009,1,100,Small
44,Secret Bay,Portsmouth,Dominica,Caribbean,Gregor Nassief,96.97,45,10,Coastal,2011,0,0,Small
45,Cape Grace,Cape Town,South Africa,Africa,Kasada Capital Management,96.96,46,120,Palace,1996,0,0,Small
46,Taj Lake Palace,Udaipur,India,Southeast Asia,India Hotels Company Limited,96.92,47,83,Palace,1743,0,0,Small
47,Taj Falaknuma Palace,Hyderabad,India,Southeast Asia,India Hotels Company Limited,96.92,47,60,Palace,1894,0,0,Small
48,Alila Villas Uluwatu,Bali,Indonesia,Southeast Asia,Hyatt,96.88,49,67,Coastal,2009,0,0,Small
49,Manoir Hovey,North Hatley,Canada,North America,Stafford family,96.83,50,36,Manor,1900,1,23,Small
50,Six Senses Con Dao,Con Dao,Vietnam,Southeast Asia,InterContinental Hotels Group,96.8,51,50,Beachfront,2010,0,0,Small
51,Cavas Wine Lodge,Mendoza,Argentina,Latin America,Relais & Chateaux,96.8,51,18,Countryside,2005,0,0,Small
52,Grand Hotel Tremezzo,Tremezzina,Italy,Europe,De Santis family,96.8,53,92,Palace,1910,0,0,Small
53,Nayara Springs,San Carlos,Costa Rica,Latin America,Nayara Resorts,96.79,54,16,Nature,2013,0,0,Small
54,Lodge on Little St. Simons Island,St Simons Island,United States,North America,Paulson family,96.76,55,16,Lodge,1928,0,0,Small
55,Rancho Santana,Tola,Nicaragua,Latin America,Tola Development Group,96.75,56,17,Coastal,2015,0,0,Small
56,Amanpuri,Phuket,Thailand,Southeast Asia,Aman Group Sarl,96.67,57,72,Beachfront,1987,0,0,Small
57,Mandarin Oriental Marrakech,Marrakech,Morocco,Africa,Jardine Matheson,96.67,57,63,Palace,2015,0,0,Small
58,Namale Resort & Spa,Savusavu,Fiji,Oceania,Tony Robbins,96.64,59,19,Nature,1967,0,0,Small
59,Gibb's Farm,Karatu,Tanzania,Africa,Rick and Judi,96.63,60,21,Lodge,1929,1,53,Small
60,Jade Mountain,Soufrière,St. Lucia,Caribbean,Nick and Karolin Troubetzkoy,96.63,61,79,Nature,2006,1,78,Small
61,Borgo Egnazia,Fasano,Italy,Europe,Aldo Melpignano,96.6,62,185,Mediterranean ,2009,0,0,Medium
62,Four Seasons Hotel Kyoto,Kyoto,Japan,Asia,Four Seasons,96.57,63,123,Contemporary ,2016,0,0,Small
63,San Ysidro Ranch,Santa Barbara,United States,North America,Ty Warner,96.57,63,41,Countryside,1893,0,0,Small
64,The Goring,London,England,Europe,The Goring Family,96.55,65,69,Palace,1910,1,56,Small
65,The Oberoi Rajvilas,Jaipur,India,Southeast Asia,The Oberoi Group,96.52,66,54,Palace,1997,1,51,Small
66,Palm Island Resort,Palm Island,Saint Vincent and the Grenadines,Caribbean,James Lane and Rob Barrett,96.5,67,43,Island,1968,0,0,Small
67,Hotel Savoy,Florence,Italy,Europe,Rocco Forte Hotels,96.47,68,80,Contemporary ,1893,0,0,Small
68,Rambagh Palace,Jaipur,India,Southeast Asia,India Hotels Company Limited,96.44,69,78,Palace,1835,1,88,Small
69,Curtain Bluff,Saint John's,Antigua,Caribbean,Hulford family,96.44,69,72,Beachfront,1962,0,0,Small
70,"Morrison House Old Town Alexandria, Autograph Collection",Alexandria,United States,North America,Marriott International,96.42,71,45,Contemporary ,1864,0,0,Small
71,"The Lytle Park Hotel, Autograph Collection",Cincinnati,United States,North America,Marriott International,96.42,71,106,Contemporary ,2019,0,0,Small
72,Twin Farms,Barnard,United States,North America,Thurston Twigg-Smith,96.42,73,20,Lodge,1993,0,0,Small
73,Deer Path Inn,Lake Forest,United States,North America,Lake Forest Investments,96.4,74,55,Manor,1929,0,0,Small
74,One&Only Nyungwe House,Nyamasheke Nyungwe Forest Reserve,Rwanda,Africa,Kerzner International,96.36,75,22,Nature,2010,0,0,Small
75,W Santiago,Las Condes,Chile,Latin America,Marriott International,96.36,75,196,Contemporary ,2009,0,0,Medium
76,Shangri-La Singapore,Singapore,Singapore,Southeast Asia,Kerry Properties,96.33,77,792,Contemporary ,1971,0,0,Mega
77,L'Ermitage Beverly Hills,Beverly Hills,United States,North America,EOS Investors,96.28,78,116,Contemporary ,1975,0,0,Small
78,Silo Hotel,Cape Town,South Africa,Africa,The Royal Portfolio,96.27,79,28,Contemporary ,2017,0,0,Small
79,Katikies Santorini,Santorini,Greece,Europe,Katikies Resorts & Club,96.24,80,34,Coastal,1987,0,0,Small
80,Nobu Hotel,Miami Beach,United States,North America,Davidson Hotels & Resorts,96.22,81,206,Beachfront,1957,0,0,Medium
81,The Shore Club,Long Bay Beach,Turks and Caicos Islands,Caribbean,The Hartling Group,96.22,82,110,Beachfront,2016,0,0,Small
82,Taj Holiday Village Resort & Spa,Goa,India,Southeast Asia,India Hotels Company Limited,96.21,83,142,Beachfront,1978,1,12,Small
83,Mandarin Oriental Bangkok,Bangkok,Thailand,Southeast Asia,Jardine Matheson,96.18,84,331,Contemporary ,1876,1,41,Big
84,Auberge Saint-Antoine,Quebec City,Canada,North America,Price family,96.18,85,95,Manor,1992,0,0,Small
85,Rosewood Miramar Beach,Montecito,United States,North America,Caruso,96.14,86,161,Beachfront,2018,0,0,Medium
86,Rio Celeste Hideaway Hotel,Guanacaste,Costa Rica,Latin America,Angelo Zaragovia (brainchild),96.0,87,26,Nature,2010,0,0,Small
87,Hotel Caesar Augustus,Anacapri,Italy,Europe,Signorini family,96.0,87,55,Coastal,1940,0,0,Small
88,Grand Hotel Villa Serbelloni,Bellagio,Italy,Europe,Bucher family,96.0,87,95,Palace,1873,0,0,Small
89,Le Bristol Paris,Paris,France,Europe,Oetker Collection,96.0,87,190,Palace,1925,1,80,Medium
90,Shangri-La Bosphorus,Istanbul,Turkey,Middle East,Kerry Properties,95.9,91,186,Palace,1929,0,0,Medium
91,The Palms Turks & Caicos,Grace Bay Beach,Turks and Caicos Islands,Caribbean,The Hartling Group,95.86,92,72,Beachfront,2004,0,0,Small
92,"The Lodge at Blue Sky, Auberge Resorts Collection",Park City,United States,North America,Phillips family,95.85,93,46,Lodge,2018,0,0,Small
93,Little Palm Island Resort & Spa,Little Torch Key,United States,North America,Noble House Hotels and Resorts,95.83,94,30,Island,1989,0,0,Small
94,Le Sirenuse,Positano,Italy,Europe,Sersale family,95.81,95,58,Coastal,1951,0,0,Small
95,andBeyond Ngorongoro Crater Lodge,Ngorongoro Conservation Area,Tanzania,Africa,andBeyond,95.8,96,30,Safari,1996,0,0,Small
96,Casa San Agustín,Cartagena,Colombia,Latin America,Casa San Agustín,95.79,97,31,Boutique ,1700,0,0,Small
97,The Connaught,London,England,Europe,Maybourne Hotel Group,95.79,97,121,Contemporary ,1897,0,0,Small
98,Wentworth Mansion,Charleston,United States,North America,Richard Widman,95.78,99,21,Manor,1886,0,0,Small
99,Taj Lands End,Mumbai,India,Southeast Asia,Indian Hotels Company Limited,95.73,100,488,Contemporary ,1999,0,0,Big
100,Birkenhead House,Hermanus,South Africa,Africa,The Royal Portfolio,95.73,100,11,Coastal,1952,0,0,Small
