,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year,latitude,longitude
0,Rosewood Castiglion del Bosco,Montalcino,Italy,Europe,Massimo and Chiara Ferragamo,99.25,1,53,Small,Countryside,2000,21,0.0,0.0,2022,43.0610689,11.4900203
1,Grace Hotel,Santorini,Greece,Europe,Auberge Resorts Collection,99.22,2,20,Small,Coastal,2000,21,1.0,6.0,2022,36.399662250000006,25.476708914676557
2,Waldorf Astoria Maldives Ithaafushi,Ithaafushi Island,Maldives,Southeast Asia,Hilton,99.11,3,119,Small,Island,2019,21,1.0,80.0,2022,4.009165299999999,73.40331027632806
3,Pickering House Inn,Wolfeboro,United States,North America,Peter and Patty Cooke ,98.95,4,10,Small,Boutique ,1813,19,1.0,34.0,2022,43.58437,-71.207886
4,One&Only Reethi Rah,North Malé Atoll,Maldives,Southeast Asia,Kerzner International,98.93,5,130,Small,Island,2005,21,0.0,0.0,2022,4.437813800000001,73.53966432958072
5,Royal Mansour Marrakech,Marrakech,Morocco,Africa,King of Morocco,98.93,5,53,Small,Palace,2010,21,0.0,0.0,2022,31.6258257,-7.9891608
6,Capella Ubud,Bali,Indonesia,Southeast Asia,Pontiac Land Group,98.97,7,23,Small,Nature,2018,21,1.0,5.0,2022,-8.3304977,115.0906401
7,The Lowell,New York,United States,North America,Fouad Chartouni,98.8,8,74,Small,Contemporary ,1927,20,0.0,0.0,2022,40.7127281,-74.0060152
8,Hôtel Madame Rêve,Paris,France,Europe,Laurent Taïeb Group,98.73,9,82,Small,Contemporary ,1850,19,0.0,0.0,2022,48.8588897,2.3200410217200766
9,Rosewood Villa Magna,Madrid,Spain,Europe,RLH Properties,98.67,10,154,Medium,Contemporary ,1972,20,0.0,0.0,2022,40.4167047,-3.7035825
10,The Oberoi New Delhi,New Delhi,India,Southeast Asia,The Oberoi Group,98.67,10,220,Medium,Contemporary ,1965,20,1.0,10.0,2022,28.6138954,77.2090057
11,The Oberoi Udaivilas,Udaipur,India,Southeast Asia,The Oberoi Group,98.58,12,87,Small,Palace,2007,21,1.0,8.0,2022,24.578721,73.6862571
12,"Mandapa, a Ritz-Carlton Reserve",Bali,Indonesia,Southeast Asia,Marriott International,98.31,13,60,Small,Nature,2015,21,1.0,80.0,2022,-8.3304977,115.0906401
13,Wilderness Safaris Bisate Lodge,Musanze,Rwanda,Africa,Wilderness Safaris,98.29,14,6,Small,Safari,2017,21,0.0,0.0,2022,-1.4741392,29.568173968338307
14,Portrait Firenze,Florence,Italy,Europe,Lungarno Collection,98.25,15,37,Small,Boutique ,2014,21,0.0,0.0,2022,43.7698712,11.2555757
15,Raffles Istanbul,Istanbul,Turkey,Middle East,Accor,97.72,16,136,Small,Contemporary ,2014,21,1.0,47.0,2022,41.0091982,28.9662187
16,The Oberoi Marrakech,Marrakech,Morocco,Africa,The Oberoi Group,98.24,17,84,Small,Palace,2019,21,0.0,0.0,2022,31.6258257,-7.9891608
17,Capella Hanoi,Hanoi,Vietnam,Southeast Asia,Pontiac Land Group,98.18,18,47,Small,Boutique ,2021,21,0.0,0.0,2022,21.0294498,105.8544441
18,White Elephant Palm Beach,Palm Beach,United States,North America,New England Development ,98.13,19,32,Small,Boutique ,2020,21,0.0,0.0,2022,26.6279798,-80.4494174
19,The Loutrel,Charleston,United States,North America,Spaulding Slye Investments,98.0,20,50,Small,Contemporary ,2021,21,0.0,0.0,2022,32.7876012,-79.9402728
20,Monasterio,Cusco,Peru,Latin America,LVMH,97.87,21,122,Small,Palace,1592,16,0.0,0.0,2022,-13.5170887,-71.9785356
21,Sani Asterias,Kassandra ,Greece,Europe,LBRI SCA,97.87,21,57,Small,Beachfront,2003,21,0.0,0.0,2022,40.0271075,23.434252170765312
22,Shangri-La the Shard,London,England,Europe,Kerry Properties,97.86,23,202,Medium,Contemporary ,2014,21,1.0,19.0,2022,51.5073219,-0.1276474
23,Coquillade Provence Resort & Spa,Gargas,France,Europe,Coquillade ,97.82,24,63,Small,Countryside,2008,21,0.0,0.0,2022,43.755877,1.4679519
24,Taj Palace,New Delhi,India,Southeast Asia,India Hotels Company Limited,97.6,25,403,Big,Palace,1903,20,1.0,57.0,2022,28.6138954,77.2090057
25,Pendry Chicago,Chicago,United States,North America,Montage Hotels & Resorts,97.6,25,364,Big,Contemporary ,1927,20,0.0,0.0,2022,41.8755616,-87.6244212
26,Nayara Tented Camp,La Fortuna,Costa Rica,Latin America,Nayara Resorts,97.55,27,29,Small,Nature,2019,21,1.0,2.0,2022,10.4716839,-84.644436
27,Hotel Belmar,Monteverde,Costa Rica,Latin America,Pedro Belmar,97.5,28,26,Small,Nature,1985,20,0.0,0.0,2022,10.291151450000001,-84.81364393886889
28,Royal Champagne Hôtel & Spa,Champillon,France,Europe,Champagne Hospitality,97.5,28,47,Small,Countryside,2018,21,0.0,0.0,2022,49.08426,3.9774
29,Under Canvas Mount Rushmore,Keystone,United States,North America,KSL Capital Partners,97.47,30,74,Small,Nature,2009,21,0.0,0.0,2022,41.9988889,-92.1979353
30,Riggs Washington D.C.,Washington,United States,North America,Global Holdings Management Group,97.45,31,181,Medium,Palace,1891,19,0.0,0.0,2022,38.8950368,-77.0365427
31,Waldorf Astoria Los Cabos Pedregal,Cabo San Lucas,Mexico,Latin America,Hilton,97.45,31,115,Small,Coastal,2019,21,0.0,0.0,2022,22.8938884,-109.9200604
32,The Oberoi Vanyavilas Wildlife Resort,Ranthambhore,India,Southeast Asia,The Oberoi Group,97.45,33,25,Small,Nature,2001,21,1.0,14.0,2022,26.031249850000002,76.4906652236282
33,Canaves Oia Epitome ,Santorini,Greece,Europe,Chaidemenos family,97.41,33,24,Small,Coastal,2018,21,1.0,24.0,2022,36.399662250000006,25.476708914676557
34,The Standard ,Hua Hin,Thailand,Southeast Asia,Standard International,97.38,35,199,Medium,Beachfront,2021,21,0.0,0.0,2022,12.567301,99.9547134
35,The Oberoi Amarvilas,Agra,India,Southeast Asia,The Oberoi Group,97.37,36,102,Small,Palace,2000,21,1.0,65.0,2022,27.1752554,78.0098161
36,Hotel Santa Caterina,Amalfi,Italy,Europe,Gambardella family,97.33,37,66,Small,Coastal,1904,20,0.0,0.0,2022,40.63367,14.6026095
37,Raffles Grand Hotel d'Angkor,Siem Reap,Cambodia,Southeast Asia,Lodgis Hospitality Holdings,97.33,37,119,Small,Palace,1932,20,0.0,0.0,2022,13.3617562,103.8590321
38,Nihi Sumba,Sumba,Indonesia,Southeast Asia,Christopher Burch,97.33,37,28,Small,Beachfront,2001,21,1.0,36.0,2022,-9.795874,120.15245652768192
39,La Réserve Paris,Paris,France,Europe,La Réserve Hotels,97.26,40,40,Small,Palace,1854,19,0.0,0.0,2022,48.8588897,2.3200410217200766
40,Hotel de la Ville,Rome,Italy,Europe,Rocco Forte Hotels,97.17,41,104,Small,Palace,1921,20,0.0,0.0,2022,41.8933203,12.4829321
41,Il San Pietro di Positano,Positano,Italy,Europe,"Virginia Attanasio, Carlo and Vito Cinque",97.12,42,57,Small,Coastal,1970,20,0.0,0.0,2022,40.6286581,14.4854955
42,Six Senses Yao Noi,Koh Yao Noi,Thailand,Southeast Asia,InterContinental Hotels Group,97.07,43,56,Small,Beachfront,2007,21,0.0,0.0,2022,8.1144562,98.62389977996429
43,Finca Cortesin Hotel Golf & Spa,Málaga,Spain,Europe,Finca Cortesin,96.97,44,67,Small,Countryside,2009,21,1.0,100.0,2022,36.7213028,-4.4216366
44,Secret Bay,Portsmouth,Dominica,Caribbean,Gregor Nassief,96.97,45,10,Small,Coastal,2011,21,0.0,0.0,2022,15.575915,-61.455588
45,Cape Grace,Cape Town,South Africa,Africa,Kasada Capital Management,96.96,46,120,Small,Palace,1996,20,0.0,0.0,2022,-33.928992,18.417396
46,Taj Lake Palace,Udaipur,India,Southeast Asia,India Hotels Company Limited,96.92,47,83,Small,Palace,1743,18,0.0,0.0,2022,24.578721,73.6862571
47,Taj Falaknuma Palace,Hyderabad,India,Southeast Asia,India Hotels Company Limited,96.92,47,60,Small,Palace,1894,19,0.0,0.0,2022,17.360589,78.4740613
48,Alila Villas Uluwatu,Bali,Indonesia,Southeast Asia,Hyatt,96.88,49,67,Small,Coastal,2009,21,0.0,0.0,2022,-8.3304977,115.0906401
49,Manoir Hovey,North Hatley,Canada,North America,Stafford family,96.83,50,36,Small,Manor,1900,20,1.0,23.0,2022,45.275611,-71.972122
50,Six Senses Con Dao,Con Dao,Vietnam,Southeast Asia,InterContinental Hotels Group,96.8,51,50,Small,Beachfront,2010,21,0.0,0.0,2022,8.7003427,106.60678547974496
51,Cavas Wine Lodge,Mendoza,Argentina,Latin America,Relais & Chateaux,96.8,51,18,Small,Countryside,2005,21,0.0,0.0,2022,-34.787093049999996,-68.43818677312292
52,Grand Hotel Tremezzo,Tremezzina,Italy,Europe,De Santis family,96.8,53,92,Small,Palace,1910,20,0.0,0.0,2022,45.9835245,9.191490924303547
53,Nayara Springs,San Carlos,Costa Rica,Latin America,Nayara Resorts,96.79,54,16,Small,Nature,2013,21,0.0,0.0,2022,10.62017945,-84.42581794981697
54,Lodge on Little St. Simons Island,St Simons Island,United States,North America,Paulson family,96.76,55,16,Small,Lodge,1928,20,0.0,0.0,2022,31.2182863,-81.3612077
55,Rancho Santana,Tola,Nicaragua,Latin America,Tola Development Group,96.75,56,17,Small,Coastal,2015,21,0.0,0.0,2022,11.4386984,-85.9392133
56,Amanpuri,Phuket,Thailand,Southeast Asia,Aman Group Sarl,96.67,57,72,Small,Beachfront,1987,20,0.0,0.0,2022,7.9366015,98.3529292
57,Mandarin Oriental Marrakech,Marrakech,Morocco,Africa,Jardine Matheson,96.67,57,63,Small,Palace,2015,21,0.0,0.0,2022,31.6258257,-7.9891608
58,Namale Resort & Spa,Savusavu,Fiji,Oceania,Tony Robbins,96.64,59,19,Small,Nature,1967,20,0.0,0.0,2022,-16.7802184,179.3328955
59,Gibb's Farm,Karatu,Tanzania,Africa,Rick and Judi,96.63,60,21,Small,Lodge,1929,20,1.0,53.0,2022,-3.49019715,35.56828793576915
60,Jade Mountain,Soufrière,St. Lucia,Caribbean,Nick and Karolin Troubetzkoy,96.63,61,79,Small,Nature,2006,21,1.0,78.0,2022,13.90904385,-60.97792414113452
61,Borgo Egnazia,Fasano,Italy,Europe,Aldo Melpignano,96.6,62,185,Medium,Mediterranean ,2009,21,0.0,0.0,2022,40.834432,17.358399
62,Four Seasons Hotel Kyoto,Kyoto,Japan,Asia,Four Seasons,96.57,63,123,Small,Contemporary ,2016,21,0.0,0.0,2022,35.021041,135.7556075
63,San Ysidro Ranch,Santa Barbara,United States,North America,Ty Warner,96.57,63,41,Small,Countryside,1893,19,0.0,0.0,2022,34.4221319,-119.702667
